id,path,width,height,alpha,role,renders_in,screen,variant_of,classification,priority,target_dimensions,format,safe_margins,sheet_layout,notes
BR-02,ui/hero_icon_96.png,96,96,yes,Small circular hero icon,"LoadingScreen.svelte:89, which is imported by NOTHING",none at runtime,ui/hero_emblem_512.png,DEAD,-,-,-,-,,"SHIPS BUT NEVER RENDERS. LoadingScreen was removed by owner ruling 2026-08-09 (App.svelte:303-309) and dead_wiring_scan.mjs:31 already reports it. Zero occurrences of 'hero_icon_96' in the built bundle. DERIVED FROM THE PROTECTED EMBLEM, so the correct action is DELETION alongside LoadingScreen, NOT regeneration by an art tool."
SC-04,frames/frame-1.png,800,640,yes,Alternate ornate bezel,none,none,frames/frame-2.png,DEAD,-,-,-,-,,"SHIPS BUT NEVER RENDERS. themeStore.ts:75 hardcodes frame-2 for every theme; frame-1 appears only in comments. Corroborated by TR-061 and TR-154. Delete, do not redraw."
SC-07,ui/scene_character_car.png,1200,656,yes,Retired baked composite of character plus car,none,none,,DEAD,-,-,-,-,,"SHIPS BUT NEVER RENDERS, and IT REGENERATES ITSELF: scripts/assets/manifest.json:26 still exports it and build.py renders that block unconditionally, so deleting the PNG alone restores it on the next 'npm run assets'. Remove the manifest entry in the same edit."
UI-06,ui/subtitle.png,300,30,yes,WE ROLL SPINNERS wordmark strip,none,none,,DEAD,-,-,-,-,,"SHIPS BUT NEVER RENDERS. Zero references in source and absent from the built bundle. Already listed under ORPHANS at docs/RESKIN_BOUNDARY.md:186. Delete, do not redraw."
UI-07,ui/panel_balance.png,340,90,yes,Balance readout plate,themeStore.ts:85 derives the path; NO component reads it,none,,DEAD,-,-,-,-,,"SHIPS BUT NEVER RENDERS. Also BAKES THE ENGLISH WORD 'BALANCE' into the art, which cannot survive sixteen locales or the social swap to COINS, and its readout window carries garbled machine pseudo-text. Delete, do not redraw. If a plate is ever wanted again it must be text-free."
UI-08,ui/panel_win.png,360,100,yes,Win readout plate,themeStore.ts:86 derives the path; NO component reads it,none,,DEAD,-,-,-,-,,"SHIPS BUT NEVER RENDERS. Bakes the English word 'WIN', which social mode remaps to PRIZE. Same disposition as panel_balance: delete, and never bake copy into art again."
BR-01,ui/hero_emblem_512.png,512,512,no,"We Roll Spinners hero emblem, the studio mark",HeroSplash boot splash,Boot splash,,KEEP,P0,512x512,"OPAQUE PNG (palette, no alpha)","even margin all sides, emblem fully inside frame",,"OWNER RULING: THE SOLE KEEP. Do not replace, restyle or recolour. Derived from design-system/brand/hero_emblem/master_1024.png (1024x1024 RGB, opaque). Carries a Google Gemini SynthID watermark; licence archived at docs/licences/google-gemini/2026-07-15/. Its palette is the anchor every new asset must harmonise with."
SY-01,symbols/wild.png,240,240,yes,"WILD. Pure substitute, no independent pay","GameGrid reels, PaytableModal","Reels, paytable",,REPLACE,P1,240x240,TRANSPARENT PNG,"art centred, keep clear of the 82% cell inset",,"Plate signature colour #ff00ff (plates.json), applied by the engine as a CSS inset glow and NOT baked into the art. Idle animation idle-rings adds a magenta drop-shadow: do not bake a glow that will double it."
SY-02,symbols/scatter.png,240,240,yes,SCATTER. Instant pay plus the free-spins trigger,"GameGrid reels, PaytableModal","Reels, paytable",,REPLACE,P1,240x240,TRANSPARENT PNG,art centred; must read correctly at every rotation,,"HARD CONSTRAINT: the idle-rays class rotates the WHOLE image a full 360 degrees over 12s linear. The replacement must be radially symmetric or designed to spin, or it will visibly tumble. Plate colour #ffd700."
SY-03,symbols/h1.png,240,240,yes,"H1 Spinning Rim, ultra-premium. The COMPOSED reference art","PaytableModal and BuyBonus preview ONLY, never the reels","Paytable, buy preview",,REPLACE,P1,240x240,TRANSPARENT PNG,art centred,,"NOT drawn on the main reels: GameGrid paints H1 as h1_base plus h1_spin (GameGrid.svelte:121-131). Supply all three together and keep them consistent, or the paytable and the reels will show different art."
SY-04,symbols/h1_base.png,240,240,yes,"Static half of H1: tyre, barrel, rim lip",GameGrid reels,Reels,symbols/h1.png,REPLACE,P1,240x240,TRANSPARENT PNG,registration must match h1_spin exactly,,"SPLIT IS BY SYMBOL ID ONLY, never by game state (LAYERED_OVERLAY, GameGrid.svelte:121-123). The two halves are composited every frame, so their centres must align to the pixel."
SY-05,symbols/h1_spin.png,240,240,yes,Rotating half of H1: the spokes,"GameGrid reels, rotated in CSS",Reels,symbols/h1.png,REPLACE,P1,240x240,TRANSPARENT PNG,must be rotation-safe about the exact centre,,This layer SPINS over h1_base. It must be rotationally balanced about the image centre or the wheel will wobble.
SY-06,symbols/h2.png,240,240,yes,Premium symbol,"GameGrid reels, PaytableModal","Reels, paytable",,REPLACE,P1,240x240,TRANSPARENT PNG,art centred,,Plate colour #ff2d3d. Idle class idle-charge: crimson charge halo.
SY-07,symbols/m1.png,240,240,yes,"M1 Car Grille, mid-high","GameGrid reels, PaytableModal","Reels, paytable",,REPLACE,P1,240x240,TRANSPARENT PNG,art centred,,Plate colour #ff9a2e. Idle class idle-rev.
