agent	row_id	squad	squad_population	sampled_from_squad	sev	family	file	path	selection_rule	selection_rank	contamination_prior	observation_has_causal_language	verdict	better_supported	fresh_returned_unknown	contamination_self_reported	contamination_record_layer_objective	contamination_class	usable_in_rate	mechanism_recorded_15w	mechanism_fresh_15w	comparison_rationale	disqualifying_sources
D01	S2-C005	A1	3	1	STREAM	COMPLIANCE	frontend/src/lib/components/ReplayMode.svelte	`frontend/src/lib/components/ReplayMode.svelte:211-215 and 299-303 for the animation half; the audio half is what is missing, at frontend/src/App.svelte:1170 against 1212 and 1239`	highest severity first, ties broken by lowest row id	1	none known	no	SAME	NOT_APPLICABLE	false	false	false	CLEAN	true	Replay skips App.svelte's audio branch, so BGM, warm-up and win sting never fire; GameGrid SFX survive.	Same: all audio owners live behind App.svelte's replay early return; only GameGrid's animateSpin SFX reach replay.	Both name one mechanism: every audio owner sits in App.svelte's live branch, replay skips it (onMount `if (isReplay) return` above playBGM and the first-gesture warmUpAudio, playWin only in live spin/buy handlers), so replay loses BGM, warm-up and the win sting while GameGrid's internal reel SFX still ride along because ReplayMode calls the same gridRef.animateSpin; both also agree the feature presentation is silent. The fresh pass adds the overdriveVisual bed as a further instance of the same mechanism and quotes the same spec lines from a different mirror of the replay doc, which is added detail, not a different cause.	none
D02	S2-C028	A2	2	1	HIGH	COMPLIANCE	frontend/src/lib/services/replayService.ts	`frontend/src/lib/services/replayService.ts:56-118`	highest severity first, ties broken by lowest row id	1	none known	no	SAME	NEITHER	false	false	false	CLEAN	true	Nil-arity parseReplayParams reads window.location.search; untestable in tsx unit tier, browser gate hardcodes all parameters	Same: no injectable seam past window global; Node unit tier lacks window, browser gate supplies every parameter	Both explanations turn on the same two lines of code and the same two-tier harness: parseReplayParams is nil-arity and reads window.location.search directly (replayService.ts:56-57), so it is unreachable from the repo's `npx tsx` Node unit tier without a window shim (none exists), and the only tier that does reach it is the Playwright replay gate, which always supplies every optional query parameter (replay_contract_gate.mjs:106-121) so the defaulting branches are never entered; both then list the same unproven branches (mandatory throw :67-71, currency-derived social :96, NaN/amount guard :101-103, device cast :115). The fresh adds corroboration (normaliseRgsUrl extraction at rgsService.ts:498-503 and the launchParams restatement) rather than a different cause, and its incidental errors do not change the mechanism.	none
D03	S2-C012	DEI	5	1	STREAM	COMPLIANCE	frontend/src/app.css	`frontend/src/app.css:157-162`	highest severity first, ties broken by lowest row id	1	none known	no	PARTIAL	ORIGINAL	false	true	false	PROSE_RECORD	false	Scaffold block edited one declaration in place; link rules dead, #app text-align: center inherits everywhere.	Declaration-scoped fixes plus no gate detecting scaffold CSS; links dead, colours live, text-align inherits.	Both explanations agree on the core: the create-vite block was edited one declaration in place, the link rules ship dead, and the live vector is #app's inherited text-align: center. Fresh is wider (it names the finding-scoped-remediation plus gate-blindness reason the residue persists) but overreaches on one sub-claim the source refutes.	docs/QUALITY_CHARTER.md:199 | docs/QUALITY_CHARTER.md:175
D04	S2-C035	FG	5	1	HIGH	COMPLIANCE	frontend/src/lib/config/fsModes.ts	`frontend/src/lib/config/fsModes.ts:71-117`	highest severity first, ties broken by lowest row id	1	none known	no	DIFFERENT	ORIGINAL	false	true	false	PROSE_RECORD	false	Negative requirement REQ-002 needs a control inventory; instrument M14 never built, so unproven.	Closed FsModeId/FsServerMode unions plus maths-package-first promotion make a prohibited mode inexpressible in FS_MODES.	The fresh pass explains why FS_MODES holds exactly five entries (closed type unions plus maths-first promotion) and asserts closure: "a prohibited mode could not reach a player without first appearing in this array." The recorded cause explains why REQ-002 is UNPROVEN (its inventory instrument M14 was never built) and explicitly refutes that closure, holding that a gamble/jackpot/collect control would ship as a CONTROL rather than a bet mode; source confirms the recorded reading and contradicts the fresh one.	CLAUDE.md:290 | GAME_FACTS.md:112-113 | GAME_FACTS.md:318 | games/future_spinner/FUTURE_SPINNER_PAR_SHEET.md:58-59 | games/future_spinner/FUTURE_SPINNER_PAR_SHEET.md:347-353 | games/future_spinner/FUTURE_SPINNER_PAR_SHEET.md:363-366
D05	S2-C010	NOQR	13	2	STREAM	COMPLIANCE	COMPLIANCE_WATCH.md	`COMPLIANCE_WATCH.md:19-22`	highest severity first, ties broken by lowest row id	1	none known	no	PARTIAL	FRESH	false	true	false	PROSE_RECORD	false	Brand/IP/taste undecidable so no gate exists; decidable Stake-token subset never separated out	Gate family grown from machine-tell register; two properties undecidable; branding subset gated 2026-07-30	Both name the same primary mechanism: COMPLIANCE_WATCH.md:19-22 ticks semantic/provenance properties as "verified" while every wired gate is a mechanically decidable text/geometry predicate, so brand, IP and imagery claims are undecidable by that gate family and stay human attestations. The fresh pass is wider (it adds the scope-by-construction point that machine_tell_gate.mjs:7-10,16-28 derives from the QUALITY_CHARTER machine-tell register rather than the approval-guidelines register) and it refutes one material sub-claim of the recorded cause.	git commit message ae40604, 2026-07-30: 'fix(guidelines): the two ticks that failed verification, and gates for the two held by nothing' | /Users/jt/math-sdk/CLAUDE.md, convention (p) (general prior statement of the class: a gate that has never been seen to fail is not evidence, and an unbacked tick is an unverified claim) - generic rather than specific to this symptom, named for completeness
D06	S2-C045	NOQR	13	2	HIGH	COMPLIANCE	docs/records/compliance/STAKE_GUIDELINES_SELF_ASSESSMENT.md	`docs/records/compliance/STAKE_GUIDELINES_SELF_ASSESSMENT.md:1-6 and :160-170`	highest severity first, ties broken by lowest row id	2	YES: a second derivation already exists at reports/qa/session3/job4_rederivation.json	no	DIFFERENT	FRESH	false	true	true	RECORD_LAYER	false	Unrevised single-commit 2026-07-26 snapshot; stale FAIL/CONFLICT rows overstate work; counts arithmetically sound	Auth-walled owner-side tick-list transcribed as prose; no gate can key on it; counts hand-composed	The two share one element (both name the auth-walled, owner-transcribed provenance, and both cite it correctly), but the recorded cause's primary mechanism is contradicted by source on both load-bearing points: it calls the document a never-revised single-commit snapshot when git log shows a second commit 2bd2997 on 2026-07-30, and it asserts the summary is "arithmetically sound... purely staleness, not counting" while line 176 of the file itself records OWNER as "7 by the rows, not 8" with all three figures disagreeing. A mechanical recount of the 58 rows reproduces the fresh shard's tally exactly and makes OWNER 8 unreachable, so the fresh derivation refutes rather than merely narrows the recorded one.	docs/records/compliance/STAKE_GUIDELINES_SELF_ASSESSMENT.md:23-28 | docs/records/compliance/STAKE_GUIDELINES_SELF_ASSESSMENT.md:83 | docs/records/compliance/STAKE_GUIDELINES_SELF_ASSESSMENT.md:103 | docs/records/compliance/STAKE_GUIDELINES_SELF_ASSESSMENT.md:144 | docs/records/compliance/STAKE_GUIDELINES_SELF_ASSESSMENT.md:176 | reports/qa/session2_audit/LEDGER.md:117 | reports/qa/session2_audit/DISPOSITIONS.md:104 | reports/qa/compliance_register/walk_shards/W11.md:14 | reports/qa/compliance_register/walk_shards/W11.md:15-16 | reports/qa/session2_audit/verify/V12.md:63 | reports/qa/session2_audit/verify/V12.md:67 | reports/qa/session2_audit/verify_shards/V16.md:11 | reports/qa/doc_currency/shards/D05.md:30 | reports/qa/dtt_live_session_2026-07-26.md:525 | reports/qa/session2_audit/LEDGER.md | reports/qa/session2_audit/DISPOSITIONS.md | reports/qa/compliance_register/walk_shards/W11.md | reports/qa/session2_audit/verify/V12.md | reports/qa/doc_currency/shards/D05.md | reports/qa/dtt_live_session_2026-07-26.md | reports/qa/session2_audit/verify_shards/V16.md
D07	S2-C070	PK	5	1	HIGH	CENSUS	CENSUS_MECHANICAL.md	`reports/qa/file_census/orphan_candidates.txt:1 (and CENSUS_MECHANICAL.md:60-89)`	highest severity first, ties broken by lowest row id	1	none known	no	PARTIAL	ORIGINAL	false	true	true	RECORD_LAYER	false	Table is a fixed depth-two path rollup of 550 per-file lines; enumeration withheld	Literal-token scan misses runtime-composed, root-relative and generated paths, so whole directories read zero-reference	Both bear on the same 550-row artefact but name different primary causes: the recorded one explains the TABLE (a fixed depth-two path rollup of a 550-line per-file list, whose enumeration is never cited), the fresh one explains the COUNT (a literal-token scan that cannot see runtime-composed, tool-root-relative or generated paths, so whole trees read zero-reference). The fresh mechanism is real and is documented in the file's own caveat and worked example, but its claim that the rows are directories and that directory granularity is "the natural shape of that result" is refuted by the artefact.	git commit f4d03cb (message body, surfaced by `git log --oneline --all -- reports/qa/file_census`): states 'symbols are loaded by composed filename at GameGrid.svelte:116, which a basename scan cannot see in principle', and 'without them a 550-entry candidate list reads as 550 dead files' — this named the mechanism and the exact source line before I opened GameGrid.svelte | /Users/jt/math-sdk/docs/records/DOC_CURRENCY_GATE_SPEC.md:176-179 | /Users/jt/math-sdk/docs/records/ROLE_HEAD_OF_ENGINEERING.md:41 | reports/qa/file_census/ | reports/qa/file_census
D08	S2-C013	SHARD_B	5	1	STREAM	COMPLIANCE	frontend/src/lib/utils/currency.ts	`frontend/src/lib/utils/currency.ts:210-224`	highest severity first, ties broken by lowest row id	1	none known	no	PARTIAL	ORIGINAL	false	true	false	PROSE_RECORD	false	Platform table landed without an exported side accessor; HudOverlay loss-limit input still assumes fiat leads.	Fiat branch let Intl locale data, not the platform's published table, decide symbol, side, spacing.	Both explanations are anchored on REQ-108 (the platform's published symbol and side must be rendered rather than derived), but they name different primary causes on different lines: the fresh one explains the observed Intl fiat branch (locale-derived symbol/side/spacing), which the recorded cause itself acknowledges as the historical mechanism and then shows is dead at head, relocating the still-live failure to HudOverlay's side decision. The fresh derivation is a correct and well-cited account of why the old design was replaced (it restates currency.ts:145-165 almost exactly), but it is narrower: it never reaches the surface where the symptom still occurs.	docs/records/reviews/REVIEW_TRACKER.md:101
D09	S2-C060	SHARD_H	5	1	HIGH	COMPLIANCE	frontend/src/lib/services/rgsService.ts	`frontend/src/lib/services/rgsService.ts:799-807 with frontend/src/App.svelte:1414, 1445`	highest severity first, ties broken by lowest row id	1	none known	no	PARTIAL	FRESH	false	true	false	PROSE_RECORD	false	endRound awaited inside spin before presentation; round closed first, so resume is dead	Same early settle at :801 collapses the active window, breaching the platform's documented resume contract	Both name the identical ordering defect (endRound awaited inside _rgsSpinReal at rgsService.ts:801, so the round is settled before App.svelte presents anything, killing sessionRecovery's active-round entry and the TR-099 checkpoint), and both agree the :799 gate governs whether, not when. The fresh explanation is wider on one leg the recorded cause explicitly withheld: it grounds the platform-contract breach in the dated mirror, and direct grep refutes the recorded claim that the mirror contains zero end-round occurrences.	docs/records/compliance/STAKE_GUIDELINES_SELF_ASSESSMENT.md:75 | docs/records/reviews/FIX_LIST_2026-07-26.md:153 | docs/records/reviews/FIX_LIST_2026-07-26.md:239 | docs/RGS_CONTRACT_REFERENCE.md:53-55
D10	S2-C008	SHARD_J	10	2	STREAM	COMPLIANCE	frontend/src/App.svelte	`frontend/src/App.svelte:1689-1692 (UI branch), :1169-1170 (no RGS init), :1597-1598 (spacebar inert)`	highest severity first, ties broken by lowest row id	1	none known	no	PARTIAL	FRESH	false	true	true	RECORD_LAYER	false	Contract gate only clicks start-replay, never presses a key, so spacebar guard stays unasserted.	Only replay CI step scans ReplayMode.svelte, not App.svelte, so all three guards unasserted.	Both say the replay requirement is held only by inline isReplay guards in App.svelte that no CI instrument asserts, and both agree the HEAD browser gate never presses a key so the spacebar guard stays unasserted; the fresh is wider and locates the primary cause elsewhere, in the sole replay step scanning ReplayMode.svelte rather than App.svelte, and adds the unasserted bet-controls item. Both causes are real and present in source, so this is overlap with a different primary emphasis rather than a contradiction.	reports/qa/session3/MECHANISMS.md
