cluster	sev	file	path	finding_as_recorded_DO_NOT_ACT_ON_THE_CAUSE
S2-C001	STREAM	frontend/src/lib/components/GameGrid.svelte	`frontend/src/lib/components/GameGrid.svelte:499`	` - name: asset references resolve in dist` / ` working-directory: frontend` / ` run: node scripts/asset_reference_gate.mjs` CI_GATE (partial, covers only the MISSING-file half)
S2-C011	STREAM	design-system/brand/GENERATION_NOTE_background.md	`design-system/brand/GENERATION_NOTE_background.md:8-13`	No gate checks asset provenance or hashes; `asset_reference_gate.mjs` (wired at `checks.yml:494-496`) only asserts references resolve in `dist`. The one committed clearance artefact covers the NAME, not the art: `docs/records/trademark/2026
S2-C016	STREAM	frontend/src/app.css	`frontend/src/app.css:160-163, plus docs/QUALITY_CHARTER.md:66-72 as the project's own checkable rendering of the bar`	Q-27: `**The Q-13 fix took the font line out of the Vite scaffold block and left the rest of the block.** Still at HEAD in \`frontend/src/app.css\`: \`color-scheme: light dark\`, \`background-color: #242424\`, \`a { color: #646cff }\`, \`a:
S2-C029	HIGH	frontend/src/lib/services/replayService.ts	`frontend/src/lib/services/replayService.ts:59-71,125`	`` &mode=${mode}&event=${event}&rgs_url=rgs.stake-engine.com `` (the full six-parameter live shape, then the script requires `.start-replay` to become visible, which the mandatory-parameter throw would prevent) !rgsUrlRaw) {` / `` const url
S2-C032	HIGH	REPLAY_TEST_EVENTS.md	`REPLAY_TEST_EVENTS.md:25-31 (the five-mode table) and docs/REVIEW_EVENTS_PLAN.md:13-25 (the staging capture sheet)`	CI step: `- name: replay rounds` / `working-directory: frontend` / `run: npx tsx src/lib/services/replayRounds.test.ts`. The assertion the gate carries, `frontend/src/lib/services/replayRounds.test.ts:108-113`: `// Every ordinary round must
S2-C033	HIGH	REPLAY_TEST_EVENTS.md	`REPLAY_TEST_EVENTS.md:80-88 (the populate-and-review checklist) and DTT_PROTOCOL.md:243-269 (the staging procedure)`	Frame 01 opened: live DTT replay of `super` event `22975` at `Amount 750` EUR reaching `MULTIPLIER 5000.0x` / `WIN 3750000.00`, i.e. the 5,000x cap exercised through the replay endpoint on the live platform and captured. Tracker row records
S2-C045	HIGH	docs/records/compliance/STAKE_GUIDELINES_SELF_ASSESSMENT.md	`docs/records/compliance/STAKE_GUIDELINES_SELF_ASSESSMENT.md:1-6 and :160-170`	`The 58-item "Reference checklist for testing" on the Future Spinner Math page, captured and transcribed by the owner on 2026-07-26.`; summary table `PASS 31 / OBSERVE 14 / OWNER 8 / **FAIL** **3** (items 15, 25, 46) / **CONFLICT** **1** (i
S2-C047	HIGH	SUBMISSION_DOSSIER.md	`SUBMISSION_DOSSIER.md:75-79`	"the validated maths exactly; spacebar spin; autoplay confirmation, no one-click consecutive bets; working sound disable; incremental win count-up; sixteen locales; social mode clean including first paint; static build, no external origins,
S2-C057	HIGH	OWNER_CHECKLIST.md	`OWNER_CHECKLIST.md:25 (the whole document carries no date)`	the string "1 August 2026" occurs in no project record; see the grep in notes `OWNER_CHECKLIST.md:25` (the whole document carries no date)
S2-C062	HIGH	frontend/src/lib/stores/gameStore.ts	`frontend/src/lib/stores/gameStore.ts:7 (LOCKED)`	nothing asserts a sub-$0.10 level anywhere; `betLadder.test.ts:37` asserts the OPPOSITE floor as the expected fallback: `check('"+" DROPPED the bet to the ladder minimum', whatPlusWouldHaveDone, 0.10)` NONE (looked in `betLadder.test.ts`, `
S2-C066	HIGH	COMPLIANCE_WATCH.md	`COMPLIANCE_WATCH.md:87-95`	CI steps, quoted: ` - name: machine tell gate, seeded-violation self-test` / ` working-directory: frontend` / ` run: node scripts/machine_tell_gate.mjs --self-test` and ` - name: machine tell gate, source scan` / `
