cluster	sev	family	disposition	file	path	finding
S2-C001	STREAM	COMPLIANCE	UPHELD, CAUSE UNSOUND	frontend/src/lib/components/GameGrid.svelte	`frontend/src/lib/components/GameGrid.svelte:499`	` - name: asset references resolve in dist` / ` working-directory: frontend` / ` run: node scripts/asset_reference_gate.mjs` CI_GATE (partial, covers only the MISSING-file half)
S2-C002	STREAM	COMPLIANCE	UPHELD	frontend/src/lib/services/replayService.ts	`frontend/src/lib/services/replayService.ts:122-131 and frontend/src/App.svelte:1169-1170`	`const LIVE_QS = (mode, event) =>` / `` `replay=true&game=0e872280-c94a-4bcf-a55b-b649c4a02fc0&version=1` + `` ... (no `sessionID`, no `session`) then `await page.locator('.start-replay').waitFor({ state: 'visible', timeout: 15000 })` `* No
S2-C003	STREAM	COMPLIANCE	UPHELD	frontend/src/lib/services/replayService.ts	`frontend/src/lib/services/replayService.ts:125,131`	Nothing asserts the path shape. No test file imports `fetchReplay` (checked all 20). The only harness intercepts with a wildcard, `await page.route('**/bet/replay/**', (route) => route.fulfill({`, which fulfils any segment order, so it cann
S2-C004	STREAM	COMPLIANCE	UPHELD	frontend/src/lib/components/ReplayMode.svelte	`frontend/src/lib/components/ReplayMode.svelte:84-98`	`` await page.goto(`http://localhost:${PORT}/?${LIVE_QS(mode, event)}`) `` then, with no interaction in between, `await page.locator('.start-replay').waitFor({ state: 'visible', timeout: 15000 })` `onMount(async () => {` / `const p = parseR
S2-C005	STREAM	COMPLIANCE	UPHELD	frontend/src/lib/components/ReplayMode.svelte	`frontend/src/lib/components/ReplayMode.svelte:211-215 and 299-303 for the animation half; the audio half is what is missing, at frontend/src/App.svelte:1170 against 1212 and 1239`	Animation is the real pipeline: ` // Drive the reel spin animation (identical pipeline to live game)` / ` isSpinning.set(true)` / ` if (gridRef && board.length > 0) {` / ` await gridRef.animateSpin(board)`, plus `<Free
S2-C006	STREAM	COMPLIANCE	UPHELD	frontend/src/lib/components/ReplayMode.svelte	`frontend/src/lib/components/ReplayMode.svelte:318-334`	The bet cost lives inside the ready-phase button ONLY: ` {#if phase === 'ready'}` ... ` {mode === 'social' ? 'Play' : 'Bet'}: <strong>{formatBalance(Math.round(baseBet * CURRENCY_SCALE), params.currency, params.lang)}</stron
S2-C007	STREAM	COMPLIANCE	UPHELD	frontend/src/lib/components/ReplayMode.svelte	`frontend/src/lib/components/ReplayMode.svelte:99-104 (fetch catch) and :291-294 (rendered state); thrower at frontend/src/lib/services/replayService.ts:133-137`	Looked in: `.github/workflows/checks.yml` (all 40 static-gate steps and all 10 browser matrix legs, only replay step is `replay rounds` at :420-422); `frontend/src/lib/services/replayRounds.test.ts` (its source scan asserts only `!/ev\.type
S2-C008	STREAM	COMPLIANCE	UPHELD	frontend/src/App.svelte	`frontend/src/App.svelte:1689-1692 (UI branch), :1169-1170 (no RGS init), :1597-1598 (spacebar inert)`	Looked in: `.github/workflows/checks.yml` (no step asserts the replay branch; the only replay step is `replay rounds`); `frontend/src/lib/services/replayRounds.test.ts:154-162` source scan (asserts absence of the legacy event search only, n
S2-C009	STREAM	COMPLIANCE	UPHELD	frontend/src/lib/components/ReplayMode.svelte	`frontend/src/lib/components/ReplayMode.svelte:346`	`vocabulary.ts:183` `if (!opts.includeNeverRewrite && NEVER_REWRITE.has(key)) continue` means the only scanner in CI cannot see `currency`; the committed DOM scan lists it under `"termsReportedNotFailed": ["stake", "currency", "fund"]` and
S2-C010	STREAM	COMPLIANCE	UPHELD	COMPLIANCE_WATCH.md	`COMPLIANCE_WATCH.md:19-22`	Nothing in `.github/workflows/checks.yml` scans for Stake branding, off-brand assets or offensive content. The nearest wired gate is `machine tell gate, source scan` (`checks.yml:290-291`), whose classes are typography and placeholders only
S2-C011	STREAM	COMPLIANCE	UPHELD, CAUSE UNSOUND	design-system/brand/GENERATION_NOTE_background.md	`design-system/brand/GENERATION_NOTE_background.md:8-13`	No gate checks asset provenance or hashes; `asset_reference_gate.mjs` (wired at `checks.yml:494-496`) only asserts references resolve in `dist`. The one committed clearance artefact covers the NAME, not the art: `docs/records/trademark/2026
S2-C012	STREAM	COMPLIANCE	UPHELD, ENUMERATION INCOMPLETE	frontend/src/app.css	`frontend/src/app.css:157-162`	**The Q-13 fix took the font line out of the Vite scaffold block and left the rest of the block.** Still at HEAD in `frontend/src/app.css`: `color-scheme: light dark`, `background-color: #242424`, `a { color: #646cff }`, `a:hover { #535bf2
S2-C013	STREAM	COMPLIANCE	UPHELD, ENUMERATION INCOMPLETE	frontend/src/lib/utils/currency.ts	`frontend/src/lib/utils/currency.ts:210-224`	` // Fiat. The symbol is derived by Intl from the code, never substituted.` / ` const decimals = ZERO_DECIMAL.has(code) ? 0 : 2` / ` return new Intl.NumberFormat(localeTag, { style: 'currency', currency: code, currencyDisplay: 'narrowS
S2-C014	STREAM	COMPLIANCE	UPHELD	frontend/src/lib/utils/currency.ts	`frontend/src/lib/utils/currency.ts:211 against games/future_spinner/game_config.py:127`	the currency test's only decimal assertions are 2-place and 0-place: `eq('USD uses the narrow symbol', formatBalance(1.25 * S, 'USD', 'en'), '$1.25')` and `eq('JPY is zero-decimal', formatBalance(1250 * S, 'JPY', 'en'), '¥1,250')`. Nothing
S2-C015	STREAM	COMPLIANCE	UPHELD, ENUMERATION INCOMPLETE	frontend/src/lib/utils/currency.ts	`frontend/src/lib/utils/currency.ts:211-220 and frontend/src/lib/components/WinPod.svelte:14-15`	currency.ts: `const decimals = ZERO_DECIMAL.has(code) ? 0 : 2` / ` return new Intl.NumberFormat(localeTag, {` / ` minimumFractionDigits: decimals,` / ` maximumFractionDigits: decimals,`; WinPod: `$: amtText = $winAmount > 0` /
S2-C016	STREAM	COMPLIANCE	UPHELD, CAUSE UNSOUND	frontend/src/app.css	`frontend/src/app.css:160-163, plus docs/QUALITY_CHARTER.md:66-72 as the project's own checkable rendering of the bar`	Q-27: `**The Q-13 fix took the font line out of the Vite scaffold block and left the rest of the block.** Still at HEAD in \`frontend/src/app.css\`: \`color-scheme: light dark\`, \`background-color: #242424\`, \`a { color: #646cff }\`, \`a:
S2-C017	STREAM	COMPLIANCE	UPHELD	frontend/src/app.css	`frontend/src/app.css:157-163`	KNOWN_OPEN Q-27: `**OPEN and WIDER than recorded.** Session 1 added a player-visible instance the row did not have: \`app.css:160-162\` styles \`button:focus\` with Chrome's own \`-webkit-focus-ring-color\` \`rgb(0, 95, 204)\`, so a stock b
S2-C019	STREAM	COMPLIANCE	UPHELD	frontend/src/App.svelte	`frontend/src/App.svelte:1445 and frontend/src/App.svelte:1523-1537`	`if (gridRef) await gridRef.animateSpin(result.board)` ... `const deferSettle = !roundIsWincap && !!script?.triggered` / `if (!deferSettle) settleRound()` / `if ($isWincap) { lastRoundWasWincap = true; await waitForWincapCollect(); if (scri
S2-C020	STREAM	CENSUS	UPHELD	frontend/src/lib/i18n/prose.ts	`frontend/src/lib/i18n/prose.ts:77`	`prose.ts:77` `// multiplication sign is U+00D7 everywhere, matching QUALITY_CHARTER Q-12.` against `prose.ts:90` `modeOverboostBlurb: 'Double-chance: about 1.6x the feature trigger rate. Debits 1.25x every spin while ON.'` and `:194` `rule
S2-C021	STREAM	CENSUS	UPHELD	frontend/src/lib/i18n/prose.locales.ts	`frontend/src/lib/i18n/prose.locales.ts:44,48,120,124 (and 13 further locale blocks)`	KNOWN(Q-26), ENUMERATION UNDERCOUNT BY AN ORDER OF MAGNITUDE. `KNOWN_OPEN.md:20` records four surviving letter-`x` instances in prose. The real count in the i18n prose layer is **51**: 6 in `prose.ts` (the `en` master plus `PROSE_SOCIAL`, w
S2-C022	HIGH	COMPLIANCE	UPHELD, ENUMERATION INCOMPLETE	design-system/brand/tile/GENERATION_NOTE_composed_master.md	`design-system/brand/tile/GENERATION_NOTE_composed_master.md:7 and design-system/brand/GENERATION_NOTE_background.md:11`	". Against `COMPLIANCE_WATCH.md:19-20`: "- **Original IP:** verified. Original designs, produced in-house from vector masters. No pre-purchased or third-party licensed content." `design-system/brand/tile/GENERATION_NOTE_composed_master.md:7
S2-C023	HIGH	COMPLIANCE	UPHELD	design-system/brand/GENERATION_NOTE_background.md	`design-system/brand/GENERATION_NOTE_background.md:11-24 and frontend/src/lib/config/themes.ts:34`	Nothing. `.github/workflows/checks.yml` has no step whose subject is asset ORIGIN; `frontend/scripts/asset_reference_gate.mjs` only asserts referenced paths exist in `dist`, and `dist_hygiene_gate.mjs` only asserts documentation is absent.
S2-C024	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/components/HudOverlay.svelte	`frontend/src/lib/components/HudOverlay.svelte:287 and :859-863 (plus :387-389, :603-605, :684-686 for portrait, mobile and compact)`	Captured output: `"dom": { "USD": { "balance": "BALANCE\n$100.00", "bet": "BET\n$1.00", ... }, "JPY": { "balance": "BALANCE\n¥100" ...` . `currency_conformance.mjs` appears nowhere in `checks.yml`. The wired layout gate reads the same selec
S2-C025	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/components/HudOverlay.svelte	`frontend/src/lib/components/HudOverlay.svelte:366 and :328-339`	Wired gates touch `[data-testid="hud-win"]` only as `readouts.push({ id: q, scrollW: t.scrollWidth, clientW: t.clientWidth, clipped: t.scrollWidth - t.clientWidth > EPS ... })` and `ok(win0 === win1, \`WIN unchanged across the hold ("${win0
