id	sev	disposition	why	source	symptom_at_head	fix_size	fix_location	locked_path
S2-C001	STREAM	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C002	STREAM	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:A1 / STREAM / replay surface: frontend/src/lib/services/replayService.ts and frontend/src/lib/components/ReplayMode.svelte (7 findings)) refuted it	wave-a:A1 / STREAM / replay surface: frontend/src/lib/services/replayService.ts and frontend/src/lib/components/ReplayMode.svelte (7 findings)	NO	NO_FIX_NEEDED	NONE	
S2-C003	STREAM	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:A1 / STREAM / replay surface: frontend/src/lib/services/replayService.ts and frontend/src/lib/components/ReplayMode.svelte (7 findings)) refuted it	wave-a:A1 / STREAM / replay surface: frontend/src/lib/services/replayService.ts and frontend/src/lib/components/ReplayMode.svelte (7 findings)	NO	NO_FIX_NEEDED	NONE	
S2-C004	STREAM	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:A1 / STREAM / replay surface: frontend/src/lib/services/replayService.ts and frontend/src/lib/components/ReplayMode.svelte (7 findings)) refuted it	wave-a:A1 / STREAM / replay surface: frontend/src/lib/services/replayService.ts and frontend/src/lib/components/ReplayMode.svelte (7 findings)	NO	NO_FIX_NEEDED	NONE	
S2-C005	STREAM	PARKED	CAUSE DERIVED (wave-a:A1 / STREAM / replay surface: frontend/src/lib/services/replayService.ts and frontend/src/lib/components/ReplayMode.svelte (7 findings)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:A1 / STREAM / replay surface: frontend/src/lib/services/replayService.ts and frontend/src/lib/components/ReplayMode.svelte (7 findings)	PARTIAL	SMALL	frontend/src/lib/components/ReplayMode.svelte:84-105 (onMount) and :167 and :225 (the two winAmount.set sites)	
S2-C006	STREAM	PARKED	CAUSE DERIVED (wave-a:A1 / STREAM / replay surface: frontend/src/lib/services/replayService.ts and frontend/src/lib/components/ReplayMode.svelte (7 findings)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:A1 / STREAM / replay surface: frontend/src/lib/services/replayService.ts and frontend/src/lib/components/ReplayMode.svelte (7 findings)	YES	SMALL	frontend/src/lib/components/ReplayMode.svelte:315-335	
S2-C007	STREAM	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:A1 / STREAM / replay surface: frontend/src/lib/services/replayService.ts and frontend/src/lib/components/ReplayMode.svelte (7 findings)) refuted it	wave-a:A1 / STREAM / replay surface: frontend/src/lib/services/replayService.ts and frontend/src/lib/components/ReplayMode.svelte (7 findings)	NO	NO_FIX_NEEDED	NONE	
S2-C008	STREAM	PARKED	CAUSE DERIVED (wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)	PARTIAL	SMALL	frontend/scripts/replay_contract_gate.mjs:215 (add the keyboard leg to driveReplay) and :273 (re-run the AUTHED_ROUTE assertion after it)	
S2-C009	STREAM	PARKED	CAUSE DERIVED (wave-a:A1 / STREAM / replay surface: frontend/src/lib/services/replayService.ts and frontend/src/lib/components/ReplayMode.svelte (7 findings)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:A1 / STREAM / replay surface: frontend/src/lib/services/replayService.ts and frontend/src/lib/components/ReplayMode.svelte (7 findings)	YES	SMALL	frontend/scripts/replay_contract_gate.mjs:296-364 (assertion) and :371-435 (seed); plus the rationale text at frontend/src/lib/i18n/vocabulary.ts:117-121	
S2-C010	STREAM	PARKED	CAUSE DERIVED (wave-a:NOQR), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:NOQR	YES	SMALL	.github/workflows/checks.yml:446 (insert a Gate 7b pair after the machine-tell steps), plus a new frontend/scripts/brand_token_gate.mjs, plus dating COMPLIANCE_WATCH.md:19-22	
