id	sev	family	tier	verdict	self_verifying	evidence_at_head	remaining	fix_location
S2-C005	STREAM	COMPLIANCE	component_or_code	STILL_OPEN	YES	"frontend/src/lib/components/ReplayMode.svelte has no audio wiring at all at HEAD (df04d8c). `grep -n ""soundService|playWin|playBGM|warmUpAudio"" frontend/src/lib/components/ReplayMode.svelte` returns nothing (NO AUDIO REFS). The onMount block at :84-105 ends `replayParams.set(p)` (:92) -> `fetchReplay` -> `phase = 'ready'` with no playBGM() and no pointerdown/keydown warmUpAudio() listener. Both winAmount.set sites in startReplay are bare: :167 `winAmount.set(microsToDisplay(response.payoutMultiplier * params.amount))` in the feature branch and :225 the identical line in the ordinary-round branch, with no playWin() after either. The live counterparts still exist and are still exported: frontend/src/App.svelte:56 `import { playBGM, playWin, warmUpAudio } from './lib/services/soundService'`, App.svelte:1220 playBGM(), :1247 warmUpAudio(), :1484 `playWin(bet > 0 ? win / bet : 0)`; frontend/s"	All of it: import playBGM/playWin/warmUpAudio from '../services/soundService' into ReplayMode.svelte, call playBGM() plus install the one-shot pointerdown/keydown warmUpAudio() listener in onMount after replayParams.set(p) (:92), and call playWin(response.payoutMultiplier) immediately after winAmount.set at :167 and at :225.	frontend/src/lib/components/ReplayMode.svelte:84-105 (onMount) and :167 and :225 (the two winAmount.set sites)
S2-C006	STREAM	COMPLIANCE	component_or_code	ALREADY_CLOSED	YES	"The figures are now rendered outside every phase branch. frontend/src/lib/components/ReplayMode.svelte:366-374 sits directly inside the `{:else if params && response}` block (grid-area at :311-318, win-area guarded by `{#if phase === 'complete' || phase === 'playing'}`, replay-controls after it, then): `<div class=""replay-meta"">` :366, `<div class=""replay-figures"">` :367 rendering `{mode === 'social' ? 'Play' : 'Bet'}: <strong>{formatBalance(Math.round(baseBet * CURRENCY_SCALE), ...)}</strong>` and, under `{#if showCostMultiplier}` :369, `× {response.costMultiplier} ... <strong>{formatBalance(Math.round(totalSpent * CURRENCY_SCALE), ...)}</strong>`. `.currency-display` at :383 is grouped with it in the same phase-independent `.replay-meta` wrapper. The Play button at the `{#if phase === 'ready'}` branch now carries only its own two label lines (btn-line-1 / btn-line-2, no bet-cost third "		frontend/src/lib/components/ReplayMode.svelte:315-335
S2-C008	STREAM	COMPLIANCE	gate_or_ci	STILL_OPEN	YES	"No keyboard leg exists anywhere in frontend/scripts/replay_contract_gate.mjs: `grep -n ""keyboard\|press("" frontend/scripts/replay_contract_gate.mjs` returns zero lines across all 826 lines. driveReplay's play branch at :283-314 does the `.start-replay` click at :284, then waits for `.play-again` at :285 and reads the after-play observables; there is no Space or Enter press and no settle wait for one. The AUTHED_ROUTE regex is defined at :134 and applied at :370 inside assertContract, but only over the request log of a session that was never keyboard-driven. The self-test seed block (:613 onward) holds seeds 1, 1b, 1c, 1d, 2, 3, 4 and 5; none patches the served index.html to remove the replay guard's early return so a Space press reaches the spin path. I also checked the other gates that do press Space: the only replay-adjacent one, frontend/scripts/max_win_hold_gate.mjs:456, presses Spac"	Add `await page.keyboard.press('Space')` and `await page.keyboard.press('Enter')` with a settle wait after the `.start-replay` click in driveReplay (currently replay_contract_gate.mjs:284), let the existing AUTHED_ROUTE assertion run over the resulting full request log, and add the convention (p) seed that strips the replay guard's early return from the served index.html and is proved to go RED.	frontend/scripts/replay_contract_gate.mjs:215 (add the keyboard leg to driveReplay) and :273 (re-run the AUTHED_ROUTE assertion after it)
S2-C009	STREAM	COMPLIANCE	gate_or_ci	STILL_OPEN	YES	"PARTIALLY closed: the gate work is done, the vocabulary.ts rationale correction is not. Done: frontend/scripts/replay_contract_gate.mjs:275-277 reads `.currency-display` innerText into observed.currencyText; assertSocialToken at :413-420 asserts `/\bToken\b/.test(txt) && !/\bcurrenc(y|ies)\b/i.test(txt)`; the extra social session is driven at :513-514 with `driveReplay(browser, { qs: { social: 'true' } })` and the real-money counterpart is asserted at :519-527; and the convention (p) seed 1d 'social-label-not-swapped' at :684-690 patches the bundle, replacing `""social""?""Token"":""Currency""` with `""social""?""Currency"":""Currency""`, run through the seed harness that requires a RED. The source ternary it targets is live at frontend/src/lib/components/ReplayMode.svelte:384, `{mode === 'social' ? 'Token' : 'Currency'}:`, inside `<div class=""currency-display"">` at :383. NOT done: the rationale tex"	Correct vocabulary.ts:117-121 so it states that 'currency' IS player-visible on the replay surface in real-money mode (ReplayMode.svelte:384) and that the social-mode case is proved by the replay contract gate, naming frontend/scripts/replay_contract_gate.mjs. Keep `currency` in NOT_SUBSTITUTED.	frontend/scripts/replay_contract_gate.mjs:296-364 (assertion) and :371-435 (seed); plus the rationale text at frontend/src/lib/i18n/vocabulary.ts:117-121
S2-C010	STREAM	COMPLIANCE	gate_or_ci	STILL_OPEN	YES	"Both halves of the row are absent at HEAD. (1) No gate file: `ls /Users/jt/math-sdk/frontend/scripts/brand_token_gate.mjs` -> ""No such file or directory""; `grep -rn brand_token /Users/jt/math-sdk/.github /Users/jt/math-sdk/frontend` returns nothing. (2) No workflow steps: .github/workflows/checks.yml:457-463 the machine-tell pair ends at ""machine tell gate, source scan"" (line 461-463) and line 465 goes straight to the comment banner ""# -- Gate 8: authenticated bet ladder"". There is no Gate 7b pair and no match for ""7b"" anywhere in checks.yml. (3) The document lines are unchanged and still timeless: COMPLIANCE_WATCH.md:19-22 read `- **Original IP:** verified. Original designs, produced in-house from vector masters. / No pre-purchased or third-party licensed content.` (19-20), `- **No Stake branding:** verified. No Stake trademark or themes in any shipped asset or text.` (21), `- **No unde"	Write frontend/scripts/brand_token_gate.mjs (dist/ + frontend/src/ + design-system/brand/** filename scan with the platform-reference allowlist); add the two convention-(p) steps after the machine-tell source scan at checks.yml:463; rewrite COMPLIANCE_WATCH.md:19-22 to carry date, assessor and gate name, and to label original-IP and underage-appeal as owner/human rather than gated.	.github/workflows/checks.yml:446 (insert a Gate 7b pair after the machine-tell steps), plus a new frontend/scripts/brand_token_gate.mjs, plus dating COMPLIANCE_WATCH.md:19-22
S2-C012	STREAM	COMPLIANCE	component_or_code	STILL_OPEN	YES	frontend/src/app.css:156-161 at HEAD is verbatim `#app {\n max-width: 1280px;\n margin: 0 auto;\n padding: 2rem;\n text-align: center;\n}` — all three of the declarations the row asks to drop (max-width :157, padding :159, text-align :160) are present; the recorded fix line (text-align at old :143) has only shifted to :160 because `body` above it grew a comment. The dead members are also still there: `a { font-weight: 500; color: #646cff; text-decoration: inherit }` at :113-117 and `a:hover { color: #535bf2 }` at :118-120, and the light-scheme `a:hover { color: #747bff }` at :240-242. Nothing in :113-120 or the light-scheme block has been deleted. (`h1` :147-150 and `.card` :152-154 are untouched, consistent with the row's correction that they must not be deleted unverified; the S2-C017 block at :200-206 has been replaced, not removed bare.)	Replace #app (:156-161) with `#app { width: 100%; height: 100% }`, and delete the dead `a` / `a:hover` rules at :113-120 and the light-scheme `a:hover` at :240-242. The h1 line-height:1.1 (:148) override question flagged in the row's correction is also still unverified in-tree.	frontend/src/app.css:143 (the one line that closes the visible defect), within a replacement of :139-144
S2-C013	STREAM	COMPLIANCE	component_or_code	STILL_OPEN	YES	"No trailing accessor exists: `grep -rn ""currencySymbolTrailing"" frontend/src/` returns nothing (NO currencySymbolTrailing ANYWHERE). frontend/src/lib/utils/currency.ts:286 `currencySymbolFor` is unchanged and is followed by formatBalance's docblock at :296+ — no new export was added after it. frontend/src/lib/components/HudOverlay.svelte:288 still reads `$: lossLimitTrailing = isVirtualCurrency($currencyCode || 'USD') && VIRTUAL_SYMBOL_TRAILING`, i.e. it consults only the virtual-currency flag and never PLATFORM_CURRENCIES[code].symbolAfter, while that table still marks trailing codes at currency.ts:209-229 (DKK :209, PLN :210, VND :211, CLP :213, ARS :214, SAR :217, ILS :218, AED :219, TND :225, OMR :228, QAR :229). formatBalance honours the same field at :270 `return meta.symbolAfter ? ...`, so the HUD loss-limit input and every other money readout still disagree for those codes. The t"	Add the `currencySymbolTrailing(currencyCode)` export after currency.ts:311 and repoint HudOverlay.svelte:288 at it (plus add it to the currency import list at HudOverlay.svelte:36).	frontend/src/lib/components/HudOverlay.svelte:288, plus one new export in frontend/src/lib/utils/currency.ts immediately after :311
S2-C017	STREAM	COMPLIANCE	component_or_code	ALREADY_CLOSED	YES	frontend/src/app.css:200-206 now reads `button:focus {\n outline: none;\n}\nbutton:focus-visible {\n outline: 2px solid var(--theme-primary, #00FFFF);\n outline-offset: 2px;\n}` — the block was replaced rather than recoloured, and both pseudo-classes are matched, so no button is left to the user agent's `outline-style: auto` ring on mouse focus. `grep -n outline frontend/src/app.css` shows the only other outline declarations are :231-232, a companion `.c1-collect:focus, .ro-btn:focus { outline: 2px solid var(--theme-primary, #00FFFF); outline-offset: 2px }` restoring a ring for the two programmatically focused modal buttons. Factual divergence from the row's text, recorded without judging it: the token used is `var(--theme-primary, #00FFFF)`, not the `var(--sig-cyan, #00FFFF)` the row specifies; the shape, offset and literal fallback match.		frontend/src/app.css:160-163
S2-C022	HIGH	COMPLIANCE	documentation	STILL_OPEN	YES	"COMPLIANCE_WATCH.md:19-20 is verbatim unchanged: ""- **Original IP:** verified. Original designs, produced in-house from vector masters."" / "" No pre-purchased or third-party licensed content."" `grep -n -i ""gemini|synthid|provenance|external"" COMPLIANCE_WATCH.md` returns exactly ONE hit, :174 (""Telemetry confirmed no-op by default, zero external network calls in the bundle"") - so the file names no provenance record, no Gemini generation, no SynthID watermark and no licence archive path anywhere. Meanwhile the recorded defect sources still say the opposite: design-system/brand/tile/GENERATION_NOTE_composed_master.md:7 reads ""| Origin | **Externally generated, commissioned by the owner** |"", and design-system/brand/GENERATION_NOTE_background.md:11 reads the same ""| Origin | **Externally generated, commissioned by the owner** |"" (its :3-6 header adds ""This record exists because the asset is e"	Replace COMPLIANCE_WATCH.md:19-20 with the qualified posture (original IP for symbols and UI produced in-house from vector masters; owner-commissioned external scene and marketing art adopted under CLAUDE.md:338-341 with recorded provenance; hero emblem a Google Gemini generation carrying SynthID, governed by docs/licences/google-gemini/2026-07-15/) and link the seven provenance records by path. The 'Original IP: verified' line must be replaced, not deleted.	COMPLIANCE_WATCH.md:19-20
S2-C024	HIGH	COMPLIANCE	gate_or_ci	STILL_OPEN	YES	"(a) The swallow is untouched. frontend/scripts/layout_fit_gate.mjs:190 is still ` if (!el) continue` (confirmed by `grep -n ""if (!el) continue""` -> single hit at 190). The surrounding loop at :188-196 pushes into `readouts` only for elements that were found, so an absent hud-balance/hud-win/hud-bet leaves no trace for the caller; `grep -n missing layout_fit_gate.mjs` returns no hits, so there is no `{ id: q, missing: true }` record and no caller-side failure. (b) The currency clause still has no wired assertion. `grep -n currency_conformance .github/workflows/checks.yml` matches only line 19, a prose comment listing it among things that ""stay local and in the external"" evidence set; the browser matrix at checks.yml:826-860 lists layout fit, contrast, splash calm, turbo intensity, paytable card fill, scrim coverage, win count-up steady, win count-up sync, max-win hold, bet selector and on"	"Convert layout_fit_gate.mjs:190 to a recorded `{ id: q, missing: true }` with a caller-side failure scoped to ""at least one of the three mounted per profile""; and either add a currency_conformance leg to the checks.yml browser matrix or add the currencySymbolFor/isVirtualCurrency DOM assertion to the layout gate."	frontend/scripts/layout_fit_gate.mjs:190, plus a new matrix entry at .github/workflows/checks.yml:814
