req	verdict	proof_kind	severity	class	player_visible	source	text
REQ-001	UNKNOWN	NONE	HIGH	ARTEFACT	YES	`approval_guidelines.md:18`	The shipped game must be functional, clear, communicative of what is happening, and technically performant, because these are the stated inspection axes.
REQ-002	NO_PROOF	NONE	HIGH	ARTEFACT	YES	`approval_guidelines.md:23`	Ship no jackpot, no gamble/double-up, no continuation of a prior round, and no early cashout control.
REQ-010	NO_PROOF	NONE	HIGH	ARTEFACT	YES	`approval_guidelines_general_disclaimer.md:22`	The disclaimer must convey that a malfunction voids all wins and plays.
REQ-011	NO_PROOF	NONE	HIGH	ARTEFACT	YES	`approval_guidelines_general_disclaimer.md:22`	The disclaimer must convey that a consistent internet connection is required.
REQ-012	NO_PROOF	NONE	HIGH	ARTEFACT	YES	`approval_guidelines_general_disclaimer.md:22`	The disclaimer must tell the player to reload the game after a disconnection to finish incomplete rounds.
REQ-013	NO_PROOF	NONE	HIGH	ARTEFACT	YES	`approval_guidelines_general_disclaimer.md:22`	The disclaimer must convey that expected return is a long-run figure.
REQ-014	NO_PROOF	NONE	HIGH	ARTEFACT	YES	`approval_guidelines_general_disclaimer.md:22`	The disclaimer must convey that the display is illustrative and models no physical machine.
REQ-015	NO_PROOF	NONE	HIGH	ARTEFACT	YES	`approval_guidelines_general_disclaimer.md:22`	The disclaimer must convey that the RGS response, not the frontend, settles winnings.
REQ-016	UNKNOWN	NONE	MEDIUM	ARTEFACT	YES	`approval_guidelines_general_disclaimer.md:22`	Present in the platform's template disclaimer as its closing line. Whether this line is itself mandatory, or is merely part of the template a studio may replace with its own wording under R1-19, is UNKNOWN from this page; note also that it sits against the project's own no-Stake-branding rule and should be ruled on rather than assumed.
REQ-038	NO_PROOF	NONE	STREAM	ARTEFACT	YES	`approval_guidelines_jurisdiction_requirements.md:62`	In social mode, never render "currency"; use "token".
REQ-040	NO_PROOF	SCRIPT_UNWIRED	HIGH	ARTEFACT	YES	`approval_guidelines_math_verification.md:30`	Make the max win figure printed in the game rules equal the maths package max win, per mode.
REQ-041	NO_PROOF	NONE	HIGH	ARTEFACT	YES	`approval_guidelines_math_verification.md:69`	Never submit a bet above 500,000 USD, so the bet ladder and any buy cost must stay at or under that ceiling or the round errors with 400.
REQ-043	NO_PROOF	NONE	MEDIUM	ARTEFACT	YES	`approval_guidelines_game_quality_rankings.md:26`	2-star rating only: the build must show considerable creativity or originality plus strong development quality, with polish allowed to trail established studios.
REQ-044	NO_PROOF	NONE	MEDIUM	ARTEFACT	YES	`approval_guidelines_game_quality_rankings.md:36`	Provide enough gameplay depth that a player keeps betting past the first spin or two; shallow depth is a named cause of a 1-star or lower rating.
REQ-052	NO_PROOF	NONE	HIGH	ARTEFACT	YES	`approval_guidelines_front_end_communication.md:22`	Every shipped audio and visual asset must be original to this title, with no web-sdk sample-game backgrounds, symbols or animations remaining anywhere in the bundle.
REQ-067	NO_PROOF	SCRIPT_UNWIRED	HIGH	ARTEFACT	YES	`approval_guidelines_front_end_communication.md:39`	Show the live balance in the normal-play UI, updating with wagers and wins.
REQ-068	NO_PROOF	SCRIPT_UNWIRED	HIGH	ARTEFACT	YES	`approval_guidelines_front_end_communication.md:40`	Any round with a payout above zero must present its final win amount legibly.
REQ-072	NO_PROOF	SCRIPT_UNWIRED	HIGH	ARTEFACT	YES	`approval_guidelines_front_end_communication.md:44`	Autoplay must sit behind an explicit confirmation step, so a single click can never start a run of consecutive bets.
REQ-074	NO_PROOF	NONE	HIGH	ARTEFACT	YES	`approval_guidelines_front_end_communication.md:47`	Observed play, including paid combinations, must match the published rules and paytable exactly.
REQ-077	NO_PROOF	NONE	HIGH	ARTEFACT	YES	`approval_guidelines_game_replay_requirements.md:19`	Parse replay query parameters at boot and enter a replay mode that loads the identified round, honouring currency, language, social mode and bet size parameters.
REQ-079	NO_PROOF	SCRIPT_UNWIRED	STREAM	ARTEFACT	YES	`approval_guidelines_game_replay_requirements.md:58,60`	Replay must load and play with no session and no authorisation, so a shared public URL works for a viewer who is not logged in.
REQ-080	NO_PROOF	SCRIPT_UNWIRED	HIGH	ARTEFACT	YES	`approval_guidelines_game_replay_requirements.md:68-73`	Read and use all six required query parameters: replay, game, version, mode, event, rgs_url.
REQ-083	NO_PROOF	NONE	STREAM	ARTEFACT	NO	`approval_guidelines_game_replay_requirements.md:84`	Build the replay request as a GET on exactly that path shape, with rgs_url taken from the query parameter and the four path segments in that order.
REQ-085	NO_PROOF	SCRIPT_UNWIRED	STREAM	ARTEFACT	YES	`approval_guidelines_game_replay_requirements.md:105`	Fetch the round data on load, with no click or input needed to start loading.
REQ-090	NO_PROOF	SCRIPT_UNWIRED	HIGH	ARTEFACT	NO	`approval_guidelines_game_replay_requirements.md:128`	Issue the replay fetch using the values taken from the query string, not defaults or hardcoded values.
REQ-091	NO_PROOF	NONE	MEDIUM	ARTEFACT	YES	`approval_guidelines_game_replay_requirements.md:129`	A visible loading indicator covers the fetch window.
REQ-094	NO_PROOF	NONE	HIGH	ARTEFACT	NO	`approval_guidelines_game_replay_requirements.md:132`	Replay makes no authenticate, play, end-round or wallet calls; only the public replay endpoint is touched.
REQ-098	NO_PROOF	NONE	STREAM	ARTEFACT	YES	`approval_guidelines_game_replay_requirements.md:136`	A user-facing error state when the replay fetch fails, rather than a blank screen or a silent hang.
REQ-099	NO_PROOF	NONE	STREAM	ARTEFACT	YES	`approval_guidelines_game_replay_requirements.md:137`	No control or path anywhere in replay mode can begin a real-money session.
