filename,batch_folder,header_dimensions,alpha,manifest_id,shipped_path,status,selection_note
.DS_Store,(root),n/a,n/a,NONE,NONE,INTERMEDIATE,"macOS directory metadata, not an asset. The build strips these."
future-spinner-480-masters/01-wild.png,future-spinner-480-masters,480x480,no,SY-01,symbols/wild.png,MAPPED,Ingested clean at 0.0 percent aspect drift and written to the working tree only. Never staged.
future-spinner-480-masters/02-scatter-energy-core.png,future-spinner-480-masters,480x480,no,SY-02,symbols/scatter.png,MAPPED,Ingested clean at 0.0 percent aspect drift and written to the working tree only. Never staged.
future-spinner-480-masters/03-h1-spinning-rim-complete.png,future-spinner-480-masters,480x480,no,SY-03,symbols/h1.png,MAPPED,Ingested clean at 0.0 percent aspect drift and written to the working tree only. Never staged.
future-spinner-480-masters/04-h1-spinning-rim-base.png,future-spinner-480-masters,480x480,no,SY-04,symbols/h1_base.png,MAPPED,Ingested clean at 0.0 percent aspect drift and written to the working tree only. Never staged.
future-spinner-480-masters/05-h1-spinning-rim-spin.png,future-spinner-480-masters,480x480,no,SY-05,symbols/h1_spin.png,MAPPED,Ingested clean at 0.0 percent aspect drift and written to the working tree only. Never staged.
future-spinner-480-masters/06-h2-turbocharger.png,future-spinner-480-masters,480x480,no,SY-06,symbols/h2.png,MAPPED,Ingested clean at 0.0 percent aspect drift and written to the working tree only. Never staged.
future-spinner-480-masters/07-tile-plate.png,future-spinner-480-masters,480x480,no,SY-13,NONE,WRONG-SPEC,"Superseded by 06-tile-plate-refinement-v2.png under the selection rule, and refused anyway at 16.39 percent aspect drift: 480x480 square against a 244x204 target."
future-spinner-480-masters/08-cyberpunk-garage-background.png,future-spinner-480-masters,480x480,no,SC-01,NONE,AMBIGUOUS,"Two background candidates and the batch records state no target for either. Neither self declares as a successor and the subjects differ, a workshop against a test cell, so recency is not a supersede rule here. Refused at 43.75 percent aspect drift, and a 480x480 source is a 4x upscale short of 1920x1080 regardless. Owner decision."
future-spinner-480-masters/PROMPTS_AND_QA.md,future-spinner-480-masters,n/a,n/a,NONE,NONE,INTERMEDIATE,"Batch record, not an asset. This is the provenance document for its folder."
future-spinner-480-masters/review/future-spinner-480-master-set-review.png,future-spinner-480-masters,1040x520,no,NONE,NONE,INTERMEDIATE,"Review composite or registration diagnostic, not a shippable asset."
future-spinner-480-masters/review/h1-composite-from-layers.png,future-spinner-480-masters,480x480,no,NONE,NONE,INTERMEDIATE,"Review composite or registration diagnostic, not a shippable asset."
future-spinner-480-masters/review/h1-registration-difference.png,future-spinner-480-masters,480x480,no,NONE,NONE,INTERMEDIATE,"Review composite or registration diagnostic, not a shippable asset."
future-spinner-480-masters/source-1254/01-wild-source.png,future-spinner-480-masters,1254x1254,no,NONE,NONE,INTERMEDIATE,"Raw pre key generator source, one step further upstream than work-alpha. Measured proof it is not the delivery: its canvas corners are not pure green, for example (23,240,19) against the delivered (0,255,0), so it fails the batch own delivery QA. The delivery chain is source-1254 then work-alpha then the top level file."
future-spinner-480-masters/source-1254/02-scatter-energy-core-source.png,future-spinner-480-masters,1254x1254,no,NONE,NONE,INTERMEDIATE,"Raw pre key generator source, one step further upstream than work-alpha. Measured proof it is not the delivery: its canvas corners are not pure green, for example (23,240,19) against the delivered (0,255,0), so it fails the batch own delivery QA. The delivery chain is source-1254 then work-alpha then the top level file."
future-spinner-480-masters/source-1254/03-h1-spinning-rim-complete-source.png,future-spinner-480-masters,1254x1254,no,NONE,NONE,INTERMEDIATE,"Raw pre key generator source, one step further upstream than work-alpha. Measured proof it is not the delivery: its canvas corners are not pure green, for example (23,240,19) against the delivered (0,255,0), so it fails the batch own delivery QA. The delivery chain is source-1254 then work-alpha then the top level file."
future-spinner-480-masters/source-1254/04-h1-spinning-rim-base-source.png,future-spinner-480-masters,1254x1254,no,NONE,NONE,INTERMEDIATE,"Raw pre key generator source, one step further upstream than work-alpha. Measured proof it is not the delivery: its canvas corners are not pure green, for example (23,240,19) against the delivered (0,255,0), so it fails the batch own delivery QA. The delivery chain is source-1254 then work-alpha then the top level file."
future-spinner-480-masters/source-1254/05-h1-spinning-rim-spin-source.png,future-spinner-480-masters,1254x1254,no,NONE,NONE,INTERMEDIATE,"Raw pre key generator source, one step further upstream than work-alpha. Measured proof it is not the delivery: its canvas corners are not pure green, for example (23,240,19) against the delivered (0,255,0), so it fails the batch own delivery QA. The delivery chain is source-1254 then work-alpha then the top level file."
future-spinner-480-masters/source-1254/06-h2-turbocharger-source.png,future-spinner-480-masters,1254x1254,no,NONE,NONE,INTERMEDIATE,"Raw pre key generator source, one step further upstream than work-alpha. Measured proof it is not the delivery: its canvas corners are not pure green, for example (23,240,19) against the delivered (0,255,0), so it fails the batch own delivery QA. The delivery chain is source-1254 then work-alpha then the top level file."
future-spinner-480-masters/source-1254/07-tile-plate-source.png,future-spinner-480-masters,1254x1254,no,NONE,NONE,INTERMEDIATE,"Raw pre key generator source, one step further upstream than work-alpha. Measured proof it is not the delivery: its canvas corners are not pure green, for example (23,240,19) against the delivered (0,255,0), so it fails the batch own delivery QA. The delivery chain is source-1254 then work-alpha then the top level file."
future-spinner-480-masters/source-1254/08-cyberpunk-garage-background-source.png,future-spinner-480-masters,1254x1254,no,NONE,NONE,INTERMEDIATE,"Raw pre key generator source, one step further upstream than work-alpha. Measured proof it is not the delivery: its canvas corners are not pure green, for example (23,240,19) against the delivered (0,255,0), so it fails the batch own delivery QA. The delivery chain is source-1254 then work-alpha then the top level file."
future-spinner-480-masters/work-alpha/01-wild-alpha.png,future-spinner-480-masters,1254x1254,yes,NONE,NONE,INTERMEDIATE,"Intermediate isolation matte. Resizing the work-alpha file to 480 and compositing on green reproduces the delivered top level file exactly, which is what identifies this as the step before delivery."
future-spinner-480-masters/work-alpha/02-scatter-energy-core-alpha.png,future-spinner-480-masters,1254x1254,yes,NONE,NONE,INTERMEDIATE,"Intermediate isolation matte. Resizing the work-alpha file to 480 and compositing on green reproduces the delivered top level file exactly, which is what identifies this as the step before delivery."
future-spinner-480-masters/work-alpha/03-h1-spinning-rim-complete-alpha.png,future-spinner-480-masters,1254x1254,yes,NONE,NONE,INTERMEDIATE,"Intermediate isolation matte. Resizing the work-alpha file to 480 and compositing on green reproduces the delivered top level file exactly, which is what identifies this as the step before delivery."
future-spinner-480-masters/work-alpha/04-h1-spinning-rim-base-alpha.png,future-spinner-480-masters,1254x1254,yes,NONE,NONE,INTERMEDIATE,"Intermediate isolation matte. Resizing the work-alpha file to 480 and compositing on green reproduces the delivered top level file exactly, which is what identifies this as the step before delivery."
future-spinner-480-masters/work-alpha/05-h1-spinning-rim-spin-alpha.png,future-spinner-480-masters,1254x1254,yes,NONE,NONE,INTERMEDIATE,"Intermediate isolation matte. Resizing the work-alpha file to 480 and compositing on green reproduces the delivered top level file exactly, which is what identifies this as the step before delivery."
future-spinner-480-masters/work-alpha/06-h2-turbocharger-alpha.png,future-spinner-480-masters,1254x1254,yes,NONE,NONE,INTERMEDIATE,"Intermediate isolation matte. Resizing the work-alpha file to 480 and compositing on green reproduces the delivered top level file exactly, which is what identifies this as the step before delivery."
future-spinner-480-masters/work-alpha/07-tile-plate-alpha.png,future-spinner-480-masters,1254x1254,yes,NONE,NONE,INTERMEDIATE,"Intermediate isolation matte. Resizing the work-alpha file to 480 and compositing on green reproduces the delivered top level file exactly, which is what identifies this as the step before delivery."
future-spinner-core-controls-hud-480-masters/01-ui-turbo-quick-spin.png,future-spinner-core-controls-hud-480-masters,480x480,no,DOC-07/08/09,NONE,NO-ROW,"Speed tier control. The manifest rows are REGEN documentation icons, which are headless screenshots of the live CSS and SVG control. No replacement by design."
future-spinner-core-controls-hud-480-masters/02-ui-bet-increase-plus.png,future-spinner-core-controls-hud-480-masters,480x480,no,DOC-02,NONE,NO-ROW,"Interface Guide icon, REGEN. No replacement by design; restyle the control and re run the regenerator."
future-spinner-core-controls-hud-480-masters/03-ui-bet-decrease-minus.png,future-spinner-core-controls-hud-480-masters,480x480,no,DOC-03,NONE,NO-ROW,"Interface Guide icon, REGEN. No replacement by design."
future-spinner-core-controls-hud-480-masters/04-ui-main-hud-banner.png,future-spinner-core-controls-hud-480-masters,480x480,no,UI-07/UI-08,NONE,NO-ROW,"Nearest rows are the DEAD readout plates panel_balance and panel_win, which ship but never render and are marked delete, do not redraw. No replacement by design."
future-spinner-core-controls-hud-480-masters/05-ui-paytable-button.png,future-spinner-core-controls-hud-480-masters,480x480,no,NONE,NONE,NO-ROW,No manifest row of any class covers a paytable control face.
